Коды Хаффмана:
Символ: Вероятность:    Код:					Длина:
"�"		2.11166e-05		000101011101010			15
"	"		0.00504688		11010001			8
"
"		0.0105583		000100			6
"		0.0105583		1101001			7
" "		0.175965		111			3
"!"		0.000485683		10100100001			11
"""		0.0002534		110100000100			12
"'"		0.00954473		1100001			7
"("		0.000105583		0001110111110			13
")"		0.000105583		0001010111011			13
"*"		0.0002534		101001001001			12
","		0.00861559		1010111			7
"-"		0.00156263		000111010			9
"."		0.0161331		101010			6
"0"		0.0001267		1010010010001			13
"1"		0.000211166		000111011110			12
"2"		4.22333e-05		00010101110100			14
"3"		2.11166e-05		0001010111010111			16
"4"		0.000168933		000101011100			12
"5"		0.000147817		1101000001101			13
"7"		6.33499e-05		11010000011000			14
"8"		4.22333e-05		110100000110011			15
"9"		0.0001267		1010010010000			13
":"		0.00031675		110100001100			12
";"		0.000274516		110100000101			12
"?"		0.000971366		1010010001			10
"A"		0.00185827		000111111			9
"B"		0.00204831		101011001			9
"C"		0.0005068		10100100101			11
"D"		0.000422333		00011101110			11
"E"		0.00133035		000101010			9
"F"		0.00031675		110100000111			12
"G"		0.000654616		0001010110			10
"H"		0.00327308		00011110			8
"I"		0.00396993		10100101			8
"J"		0.000168933		1101000011011			13
"K"		4.22333e-05		110100000110010			15
"L"		0.000485683		10100100000			11
"M"		0.0010136		1101000000			10
"N"		0.000823549		0001110110			10
"O"		0.00116142		1101000010			10
"P"		0.00249176		00010100			8
"R"		0.000654616		11010000111			11
"S"		0.00204831		101011000			9
"T"		0.00447673		10101101			8
"U"		0.0001267		0001110111111			13
"V"		0.000168933		1101000011010			13
"W"		0.00323085		00011100			8
"X"		2.11166e-05		0001010111010110			16
"Y"		0.000886899		0001111100			10
"a"		0.0584298		0111			4
"b"		0.00912239		1100000			7
"c"		0.0134302		011000			6
"d"		0.0318439		10011			5
"e"		0.0986359		001			3
"f"		0.0137892		011001			6
"g"		0.0148028		100100			6
"h"		0.049603		0100			4
"i"		0.0444717		11011			5
"j"		0.000464566		00011111011			11
"k"		0.00819326		1010011			7
"l"		0.0302813		01101			5
"m"		0.0159008		100101			6
"n"		0.0504688		0101			4
"o"		0.058472		1000			4
"p"		0.0118464		000110			6
"q"		0.00044345		00011111010			11
"r"		0.0407762		11001			5
"s"		0.0447039		0000			4
"t"		0.0671721		1011			4
"u"		0.019364		110001			6
"v"		0.00540586		0001011			7
"w"		0.0209266		110101			6
"x"		0.0010136		1010010011			10
"y"		0.016112		101000			6
"z"		0.000422333		00010101111			11
Срeдняя длина кодов Хаффмана:
4.56014


Коды Шеннона-Фано:
Символ: Вероятность:	 Код:							Длина:		
"�"		2.11166e-05		 1111111111111111111111			22
"	"		0.00504688		 1111111001			10
"
"		0.0105583		 11111010			8
"		0.0105583		 11111011			8
" "		0.175965		 00			2
"!"		0.000485683		 111111111111001			15
"""		0.0002534		 11111111111111010			17
"'"		0.00954473		 111111000			9
"("		0.000105583		 11111111111111111100			20
")"		0.000105583		 1111111111111111101			19
"*"		0.0002534		 11111111111111011			17
","		0.00861559		 111111010			9
"-"		0.00156263		 111111111010			12
"."		0.0161331		 111011			6
"0"		0.0001267		 111111111111111101			18
"1"		0.000211166		 111111111111111000			18
"2"		4.22333e-05		 111111111111111111101			21
"3"		2.11166e-05		 1111111111111111111101			22
"4"		0.000168933		 111111111111111010			18
"5"		0.000147817		 1111111111111111000			19
"7"		6.33499e-05		 11111111111111111101			20
"8"		4.22333e-05		 111111111111111111100			21
"9"		0.0001267		 1111111111111111001			19
":"		0.00031675		 11111111111111000			17
";"		0.000274516		 11111111111111001			17
"?"		0.000971366		 1111111111011			13
"A"		0.00185827		 111111111001			12
"B"		0.00204831		 11111111011			11
"C"		0.0005068		 111111111111000			15
"D"		0.000422333		 1111111111111010			16
"E"		0.00133035		 111111111011			12
"F"		0.00031675		 1111111111111011			16
"G"		0.000654616		 11111111111011			14
"H"		0.00327308		 11111111000			11
"I"		0.00396993		 1111111011			10
"J"		0.000168933		 111111111111111011			18
"K"		4.22333e-05		 1111111111111111111100			22
"L"		0.000485683		 111111111111010			15
"M"		0.0010136		 1111111111010			13
"N"		0.000823549		 11111111111001			14
"O"		0.00116142		 1111111111000			13
"P"		0.00249176		 11111111010			11
"R"		0.000654616		 11111111111010			14
"S"		0.00204831		 111111111000			12
"T"		0.00447673		 1111111010			10
"U"		0.0001267		 1111111111111111100			19
"V"		0.000168933		 111111111111111001			18
"W"		0.00323085		 11111111001			11
"X"		2.11166e-05		 1111111111111111111110			22
"Y"		0.000886899		 11111111111000			14
"a"		0.0584298		 1001			4
"b"		0.00912239		 111111001			9
"c"		0.0134302		 11111000			8
"d"		0.0318439		 11011			5
"e"		0.0986359		 010			3
"f"		0.0137892		 1111011			7
"g"		0.0148028		 1111010			7
"h"		0.049603		 1011			4
"i"		0.0444717		 11001			5
"j"		0.000464566		 111111111111011			15
"k"		0.00819326		 111111011			9
"l"		0.0302813		 111000			6
"m"		0.0159008		 1111001			7
"n"		0.0504688		 1010			4
"o"		0.058472		 1000			4
"p"		0.0118464		 11111001			8
"q"		0.00044345		 1111111111111000			16
"r"		0.0407762		 11010			5
"s"		0.0447039		 11000			5
"t"		0.0671721		 011			3
"u"		0.019364		 111010			6
"v"		0.00540586		 1111111000			10
"w"		0.0209266		 111001			6
"x"		0.0010136		 1111111111001			13
"y"		0.016112		 1111000			7
"z"		0.000422333		 1111111111111001			16
Срeдняя длина кодов Шеннона-Фано:
5.75534
